"Plot Title: AB08-S6"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10578616, SEN S/N: 10578616)","Intensity, Lux (LGR S/N: 10578616, SEN S/N: 10578616)","Coupler Detached (LGR S/N: 10578616)","Coupler Attached (LGR S/N: 10578616)","Host Connected (LGR S/N: 10578616)","Stopped (LGR S/N: 10578616)","End Of File (LGR S/N: 10578616)"
262,10/18/14 09:40:57 PM,9.571,0.0,,,,,
263,10/19/14 12:40:57 AM,9.472,0.0,,,,,
264,10/19/14 03:40:57 AM,10.161,0.0,,,,,
265,10/19/14 06:40:57 AM,9.571,0.0,,,,,
266,10/19/14 09:40:57 AM,10.748,559.7,,,,,
267,10/19/14 12:40:57 PM,12.207,602.8,,,,,
268,10/19/14 03:40:57 PM,12.690,150.7,,,,,
269,10/19/14 06:40:57 PM,11.041,0.0,,,,,
270,10/19/14 09:40:57 PM,10.553,0.0,,,,,
271,10/20/14 12:40:57 AM,10.357,0.0,,,,,
272,10/20/14 03:40:57 AM,9.275,0.0,,,,,
273,10/20/14 06:40:57 AM,9.472,0.0,,,,,
274,10/20/14 09:40:57 AM,10.063,893.4,,,,,
275,10/20/14 12:40:57 PM,10.455,688.9,,,,,
276,10/20/14 03:40:57 PM,9.077,366.0,,,,,
277,10/20/14 06:40:57 PM,8.481,0.0,,,,,
278,10/20/14 09:40:57 PM,7.481,0.0,,,,,
279,10/21/14 12:40:57 AM,6.674,0.0,,,,,
280,10/21/14 03:40:57 AM,5.552,0.0,,,,,
281,10/21/14 06:40:57 AM,5.757,0.0,,,,,
282,10/21/14 09:40:57 AM,6.370,236.8,,,,,
283,10/21/14 12:40:57 PM,7.782,1065.6,,,,,
284,10/21/14 03:40:57 PM,7.882,710.4,,,,,
285,10/21/14 06:40:57 PM,6.573,0.0,,,,,
286,10/21/14 09:40:57 PM,7.079,0.0,,,,,
287,10/22/14 12:40:57 AM,6.775,0.0,,,,,
288,10/22/14 03:40:57 AM,6.775,0.0,,,,,
289,10/22/14 06:40:57 AM,7.280,0.0,,,,,
290,10/22/14 09:40:57 AM,7.983,247.6,,,,,
291,10/22/14 12:40:57 PM,8.282,236.8,,,,,
292,10/22/14 03:40:57 PM,8.082,172.2,,,,,
293,10/22/14 06:40:57 PM,7.481,0.0,,,,,
294,10/22/14 09:40:57 PM,7.582,0.0,,,,,
295,10/23/14 12:40:57 AM,6.775,0.0,,,,,
296,10/23/14 03:40:57 AM,6.064,0.0,,,,,
297,10/23/14 06:40:57 AM,5.347,0.0,,,,,
298,10/23/14 09:40:57 AM,5.244,269.1,,,,,
299,10/23/14 12:40:57 PM,6.573,871.9,,,,,
300,10/23/14 03:40:57 PM,6.064,279.9,,,,,
301,10/23/14 06:40:57 PM,4.415,0.0,,,,,
302,10/23/14 09:40:57 PM,3.683,0.0,,,,,
303,10/24/14 12:40:57 AM,3.578,0.0,,,,,
304,10/24/14 03:40:57 AM,3.788,0.0,,,,,
305,10/24/14 06:40:57 AM,3.472,0.0,,,,,
306,10/24/14 09:40:57 AM,4.415,613.5,,,,,
307,10/24/14 12:40:57 PM,6.370,1194.8,,,,,
308,10/24/14 03:40:57 PM,6.471,355.2,,,,,
309,10/24/14 06:40:57 PM,5.655,0.0,,,,,
310,10/24/14 09:40:57 PM,4.311,0.0,,,,,
311,10/25/14 12:40:57 AM,4.934,0.0,,,,,
312,10/25/14 03:40:57 AM,5.244,0.0,,,,,
313,10/25/14 06:40:57 AM,5.962,0.0,,,,,
314,10/25/14 09:40:57 AM,6.674,96.9,,,,,
315,10/25/14 12:40:57 PM,7.582,236.8,,,,,
316,10/25/14 03:40:57 PM,7.682,301.4,,,,,
317,10/25/14 06:40:57 PM,7.079,0.0,,,,,
318,10/25/14 09:40:57 PM,5.860,0.0,,,,,
319,10/26/14 12:40:57 AM,3.998,0.0,,,,,
320,10/26/14 03:40:57 AM,3.155,0.0,,,,,
321,10/26/14 06:40:57 AM,3.261,0.0,,,,,
322,10/26/14 09:40:57 AM,3.683,473.6,,,,,
323,10/26/14 12:40:57 PM,5.347,387.5,,,,,
324,10/26/14 03:40:57 PM,5.450,635.1,,,,,
325,10/26/14 06:40:57 PM,3.472,0.0,,,,,
326,10/26/14 09:40:57 PM,3.155,0.0,,,,,
327,10/27/14 12:40:57 AM,2.517,0.0,,,,,
328,10/27/14 03:40:57 AM,1.548,0.0,,,,,
329,10/27/14 06:40:57 AM,1.548,0.0,,,,,
330,10/27/14 09:40:57 AM,1.980,290.6,,,,,
331,10/27/14 12:40:57 PM,3.472,473.6,,,,,
332,10/27/14 03:40:57 PM,4.831,613.5,,,,,
333,10/27/14 06:40:57 PM,4.207,0.0,,,,,
334,10/27/14 09:40:57 PM,3.893,0.0,,,,,
335,10/28/14 12:40:57 AM,4.207,0.0,,,,,
336,10/28/14 03:40:57 AM,4.415,0.0,,,,,
337,10/28/14 06:40:57 AM,4.727,0.0,,,,,
338,10/28/14 09:40:57 AM,5.552,86.1,,,,,
339,10/28/14 12:40:57 PM,8.879,1377.8,,,,,
340,10/28/14 03:40:57 PM,8.581,236.8,,,,,
341,10/28/14 06:40:57 PM,7.381,0.0,,,,,
342,10/28/14 09:40:57 PM,6.775,0.0,,,,,
343,10/29/14 12:40:57 AM,6.166,0.0,,,,,
344,10/29/14 03:40:57 AM,6.064,0.0,,,,,
345,10/29/14 06:40:57 AM,5.655,0.0,,,,,
346,10/29/14 09:40:57 AM,4.934,64.6,,,,,
347,10/29/14 12:40:57 PM,7.882,1463.9,,,,,
348,10/29/14 03:40:57 PM,8.182,549.0,,,,,
349,10/29/14 06:40:57 PM,6.674,0.0,,,,,
350,10/29/14 09:40:57 PM,6.674,0.0,,,,,
351,10/30/14 12:40:57 AM,6.775,0.0,,,,,
352,10/30/14 03:40:57 AM,7.079,0.0,,,,,
353,10/30/14 06:40:57 AM,7.381,0.0,,,,,
354,10/30/14 09:40:57 AM,7.882,183.0,,,,,
355,10/30/14 12:40:57 PM,8.680,366.0,,,,,
356,10/30/14 03:40:57 PM,8.978,269.1,,,,,
357,10/30/14 06:40:57 PM,8.382,0.0,,,,,
358,10/30/14 09:40:57 PM,7.882,0.0,,,,,
359,10/31/14 12:40:57 AM,7.582,0.0,,,,,
360,10/31/14 03:40:57 AM,7.079,0.0,,,,,
361,10/31/14 06:40:57 AM,6.775,0.0,,,,,
362,10/31/14 09:40:57 AM,7.179,150.7,,,,,
363,10/31/14 12:40:57 PM,6.674,592.0,,,,,
364,10/31/14 03:40:57 PM,5.757,258.3,,,,,
365,10/31/14 06:40:57 PM,5.141,0.0,,,,,
366,10/31/14 09:40:57 PM,4.623,0.0,,,,,
367,11/01/14 12:40:57 AM,3.998,0.0,,,,,
368,11/01/14 03:40:57 AM,3.998,0.0,,,,,
369,11/01/14 06:40:57 AM,3.261,0.0,,,,,
370,11/01/14 09:40:57 AM,2.730,183.0,,,,,
371,11/01/14 12:40:57 PM,4.831,731.9,,,,,
372,11/01/14 03:40:57 PM,4.934,516.7,,,,,
373,11/01/14 06:40:57 PM,3.155,0.0,,,,,
374,11/01/14 09:40:57 PM,3.155,0.0,,,,,
375,11/02/14 12:40:57 AM,3.049,0.0,,,,,
376,11/02/14 03:40:57 AM,3.155,0.0,,,,,
377,11/02/14 06:40:57 AM,2.410,0.0,,,,,
378,11/02/14 09:40:57 AM,2.730,366.0,,,,,
379,11/02/14 12:40:57 PM,4.623,1173.3,,,,,
380,11/02/14 03:40:57 PM,5.655,462.9,,,,,
381,11/02/14 06:40:57 PM,4.934,0.0,,,,,
382,11/02/14 09:40:57 PM,4.623,0.0,,,,,
383,11/03/14 12:40:57 AM,4.519,0.0,,,,,
384,11/03/14 03:40:57 AM,4.623,0.0,,,,,
385,11/03/14 06:40:57 AM,4.831,0.0,,,,,
386,11/03/14 09:40:57 AM,5.552,409.0,,,,,
387,11/03/14 12:40:57 PM,7.481,1151.7,,,,,
388,11/03/14 03:40:57 PM,7.782,376.7,,,,,
389,11/03/14 06:40:57 PM,6.877,0.0,,,,,
390,11/03/14 09:40:57 PM,6.573,0.0,,,,,
391,11/04/14 12:40:57 AM,6.370,0.0,,,,,
392,11/04/14 03:40:57 AM,6.370,0.0,,,,,
393,11/04/14 06:40:57 AM,6.573,0.0,,,,,
394,11/04/14 09:40:57 AM,7.179,355.2,,,,,
395,11/04/14 12:40:57 PM,8.879,1377.8,,,,,
396,11/04/14 03:40:57 PM,8.680,387.5,,,,,
397,11/04/14 06:40:57 PM,6.978,0.0,,,,,
398,11/04/14 09:40:57 PM,6.166,0.0,,,,,
399,11/05/14 12:40:57 AM,5.655,0.0,,,,,
400,11/05/14 03:40:57 AM,5.037,0.0,,,,,
401,11/05/14 06:40:57 AM,5.037,0.0,,,,,
402,11/05/14 09:40:57 AM,5.757,333.7,,,,,
403,11/05/14 12:40:57 PM,8.182,807.3,,,,,
404,11/05/14 03:40:57 PM,9.077,301.4,,,,,
405,11/05/14 06:40:57 PM,9.176,0.0,,,,,
406,11/05/14 09:40:57 PM,9.373,0.0,,,,,
407,11/06/14 12:40:57 AM,9.571,0.0,,,,,
408,11/06/14 03:40:57 AM,9.571,0.0,,,,,
409,11/06/14 06:40:57 AM,10.455,0.0,,,,,
410,11/06/14 09:40:57 AM,8.879,96.9,,,,,
411,11/06/14 12:40:57 PM,8.282,871.9,,,,,
412,11/06/14 03:40:57 PM,8.182,484.4,,,,,
413,11/06/14 06:40:57 PM,6.775,0.0,,,,,
414,11/06/14 09:40:57 PM,5.141,0.0,,,,,
