"Plot Title: AM16-S1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10578643, SEN S/N: 10578643)","Intensity, Lux (LGR S/N: 10578643, SEN S/N: 10578643)"
341,10/24/14 01:00:00 AM,3.683,0.0
342,10/24/14 04:00:00 AM,3.578,0.0
343,10/24/14 07:00:00 AM,2.088,0.0
344,10/24/14 10:00:00 AM,3.998,4994.5
345,10/24/14 01:00:00 PM,7.481,7577.8
346,10/24/14 04:00:00 PM,6.370,1636.1
347,10/24/14 07:00:00 PM,4.415,0.0
348,10/24/14 10:00:00 PM,3.893,0.0
349,10/25/14 01:00:00 AM,4.519,0.0
350,10/25/14 04:00:00 AM,5.552,0.0
351,10/25/14 07:00:00 AM,5.141,0.0
352,10/25/14 10:00:00 AM,5.962,645.8
353,10/25/14 01:00:00 PM,8.879,2669.5
354,10/25/14 04:00:00 PM,7.381,344.4
355,10/25/14 07:00:00 PM,6.674,0.0
356,10/25/14 10:00:00 PM,4.207,0.0
357,10/26/14 01:00:00 AM,2.730,0.0
358,10/26/14 04:00:00 AM,0.343,0.0
359,10/26/14 07:00:00 AM,0.232,0.0
360,10/26/14 10:00:00 AM,0.343,290.6
361,10/26/14 01:00:00 PM,0.453,721.2
362,10/26/14 04:00:00 PM,0.453,592.0
363,10/26/14 07:00:00 PM,0.343,0.0
364,10/26/14 10:00:00 PM,0.343,0.0
365,10/27/14 01:00:00 AM,0.343,0.0
366,10/27/14 04:00:00 AM,0.343,0.0
367,10/27/14 07:00:00 AM,0.343,0.0
368,10/27/14 10:00:00 AM,0.453,785.8
369,10/27/14 01:00:00 PM,0.563,645.8
370,10/27/14 04:00:00 PM,0.453,322.9
371,10/27/14 07:00:00 PM,0.453,0.0
372,10/27/14 10:00:00 PM,0.453,0.0
373,10/28/14 01:00:00 AM,0.453,0.0
374,10/28/14 04:00:00 AM,0.453,0.0
375,10/28/14 07:00:00 AM,0.343,0.0
376,10/28/14 10:00:00 AM,0.343,893.4
377,10/28/14 01:00:00 PM,0.453,1980.6
378,10/28/14 04:00:00 PM,0.784,1377.8
379,10/28/14 07:00:00 PM,2.517,0.0
380,10/28/14 10:00:00 PM,4.727,0.0
381,10/29/14 01:00:00 AM,5.037,0.0
382,10/29/14 04:00:00 AM,5.552,0.0
383,10/29/14 07:00:00 AM,5.141,0.0
384,10/29/14 10:00:00 AM,4.831,570.5
385,10/29/14 01:00:00 PM,6.471,12400.1
386,10/29/14 04:00:00 PM,7.983,4477.8
387,10/29/14 07:00:00 PM,5.037,0.0
388,10/29/14 10:00:00 PM,4.934,0.0
389,10/30/14 01:00:00 AM,5.244,0.0
390,10/30/14 04:00:00 AM,5.552,0.0
391,10/30/14 07:00:00 AM,5.962,0.0
392,10/30/14 10:00:00 AM,6.674,678.1
393,10/30/14 01:00:00 PM,7.481,871.9
394,10/30/14 04:00:00 PM,7.582,581.3
395,10/30/14 07:00:00 PM,7.179,0.0
