"Plot Title: AX15-S1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995245, SEN S/N: 9995245)","Intensity, Lux (LGR S/N: 9995245, SEN S/N: 9995245)","Bad Battery (LGR S/N: 9995245)","Good Battery (LGR S/N: 9995245)","End Of File (LGR S/N: 9995245)"
256,10/19/13 04:00:00 PM,12.013,904.2,,,
257,10/19/13 07:00:00 PM,9.965,0.0,,,
258,10/19/13 10:00:00 PM,9.571,0.0,,,
259,10/20/13 01:00:00 AM,9.472,0.0,,,
260,10/20/13 04:00:00 AM,9.472,0.0,,,
261,10/20/13 07:00:00 AM,10.259,0.0,,,
262,10/20/13 10:00:00 AM,12.207,1808.3,,,
263,10/20/13 01:00:00 PM,14.613,2755.6,,,
264,10/20/13 04:00:00 PM,13.942,871.9,,,
265,10/20/13 07:00:00 PM,12.497,0.0,,,
266,10/20/13 10:00:00 PM,12.013,0.0,,,
267,10/21/13 01:00:00 AM,12.110,0.0,,,
268,10/21/13 04:00:00 AM,12.497,0.0,,,
269,10/21/13 07:00:00 AM,12.787,0.0,,,
270,10/21/13 10:00:00 AM,14.134,1808.3,,,
271,10/21/13 01:00:00 PM,16.237,2755.6,,,
272,10/21/13 04:00:00 PM,15.855,850.4,,,
273,10/21/13 07:00:00 PM,14.421,0.0,,,
274,10/21/13 10:00:00 PM,14.134,0.0,,,
275,10/22/13 01:00:00 AM,13.750,0.0,,,
276,10/22/13 04:00:00 AM,13.558,0.0,,,
277,10/22/13 07:00:00 AM,13.461,0.0,,,
278,10/22/13 10:00:00 AM,14.804,1722.2,,,
279,10/22/13 01:00:00 PM,16.808,2755.6,,,
280,10/22/13 04:00:00 PM,16.903,839.6,,,
281,10/22/13 07:00:00 PM,14.709,0.0,,,
282,10/22/13 10:00:00 PM,14.038,0.0,,,
283,10/23/13 01:00:00 AM,13.461,0.0,,,
284,10/23/13 04:00:00 AM,12.980,0.0,,,
285,10/23/13 07:00:00 AM,12.594,0.0,,,
286,10/23/13 10:00:00 AM,14.134,1722.2,,,
287,10/23/13 01:00:00 PM,16.427,2669.5,,,
288,10/23/13 04:00:00 PM,16.523,807.3,,,
289,10/23/13 07:00:00 PM,14.709,0.0,,,
290,10/23/13 10:00:00 PM,13.173,0.0,,,
291,10/24/13 01:00:00 AM,12.401,0.0,,,
292,10/24/13 04:00:00 AM,12.110,0.0,,,
293,10/24/13 07:00:00 AM,12.207,0.0,,,
294,10/24/13 10:00:00 AM,13.558,1636.1,,,
295,10/24/13 01:00:00 PM,16.141,2583.4,,,
296,10/24/13 04:00:00 PM,15.187,785.8,,,
297,10/24/13 07:00:00 PM,12.207,0.0,,,
298,10/24/13 10:00:00 PM,11.722,0.0,,,
299,10/25/13 01:00:00 AM,11.334,0.0,,,
300,10/25/13 04:00:00 AM,10.944,0.0,,,
301,10/25/13 07:00:00 AM,10.063,0.0,,,
302,10/25/13 10:00:00 AM,11.139,1722.2,,,
303,10/25/13 01:00:00 PM,12.497,2411.1,,,
304,10/25/13 04:00:00 PM,11.431,796.5,,,
305,10/25/13 07:00:00 PM,9.373,0.0,,,
306,10/25/13 10:00:00 PM,8.978,0.0,,,
307,10/26/13 01:00:00 AM,8.581,0.0,,,
308,10/26/13 04:00:00 AM,8.481,0.0,,,
309,10/26/13 07:00:00 AM,7.682,0.0,,,
310,10/26/13 10:00:00 AM,8.082,1636.1,,,
311,10/26/13 01:00:00 PM,11.041,2583.4,,,
312,10/26/13 04:00:00 PM,10.161,785.8,,,
313,10/26/13 07:00:00 PM,7.782,0.0,,,
314,10/26/13 10:00:00 PM,7.682,0.0,,,
315,10/27/13 01:00:00 AM,5.347,0.0,,,
316,10/27/13 04:00:00 AM,5.037,0.0,,,
317,10/27/13 07:00:00 AM,3.367,0.0,,,
318,10/27/13 10:00:00 AM,4.102,376.7,,,
319,10/27/13 01:00:00 PM,5.037,2497.2,,,
320,10/27/13 04:00:00 PM,5.037,1119.5,,,
321,10/27/13 07:00:00 PM,4.415,0.0,,,
322,10/27/13 10:00:00 PM,3.788,0.0,,,
323,10/28/13 01:00:00 AM,4.207,0.0,,,
324,10/28/13 04:00:00 AM,3.683,0.0,,,
325,10/28/13 07:00:00 AM,3.261,0.0,,,
326,10/28/13 10:00:00 AM,4.207,1722.2,,,
327,10/28/13 01:00:00 PM,5.757,2411.1,,,
328,10/28/13 04:00:00 PM,6.064,721.2,,,
329,10/28/13 07:00:00 PM,3.998,0.0,,,
330,10/28/13 10:00:00 PM,2.837,0.0,,,
331,10/29/13 01:00:00 AM,2.410,0.0,,,
332,10/29/13 04:00:00 AM,2.088,0.0,,,
333,10/29/13 07:00:00 AM,1.872,0.0,,,
334,10/29/13 10:00:00 AM,3.367,2927.8,,,
335,10/29/13 01:00:00 PM,5.655,2411.1,,,
336,10/29/13 04:00:00 PM,5.962,667.4,,,
337,10/29/13 07:00:00 PM,3.893,0.0,,,
338,10/29/13 10:00:00 PM,3.049,0.0,,,
339,10/30/13 01:00:00 AM,2.624,0.0,,,
340,10/30/13 04:00:00 AM,2.088,0.0,,,
341,10/30/13 07:00:00 AM,2.088,0.0,,,
342,10/30/13 10:00:00 AM,3.155,2238.9,,,
343,10/30/13 01:00:00 PM,5.655,1894.5,,,
344,10/30/13 04:00:00 PM,5.860,818.1,,,
345,10/30/13 07:00:00 PM,4.727,0.0,,,
346,10/30/13 10:00:00 PM,3.788,0.0,,,
347,10/31/13 01:00:00 AM,3.049,0.0,,,
348,10/31/13 04:00:00 AM,3.998,0.0,,,
349,10/31/13 07:00:00 AM,4.831,0.0,,,
350,10/31/13 10:00:00 AM,5.347,333.7,,,
351,10/31/13 01:00:00 PM,6.370,1345.5,,,
352,10/31/13 04:00:00 PM,6.775,452.1,,,
353,10/31/13 07:00:00 PM,6.166,0.0,,,
354,10/31/13 10:00:00 PM,5.655,0.0,,,
355,11/01/13 01:00:00 AM,5.552,0.0,,,
356,11/01/13 04:00:00 AM,4.934,0.0,,,
357,11/01/13 07:00:00 AM,4.102,0.0,,,
358,11/01/13 10:00:00 AM,4.831,710.4,,,
359,11/01/13 01:00:00 PM,7.983,2152.8,,,
360,11/01/13 04:00:00 PM,8.282,602.8,,,
361,11/01/13 07:00:00 PM,7.381,0.0,,,
362,11/01/13 10:00:00 PM,6.775,0.0,,,
363,11/02/13 01:00:00 AM,6.064,0.0,,,
364,11/02/13 04:00:00 AM,6.573,0.0,,,
365,11/02/13 07:00:00 AM,5.757,0.0,,,
366,11/02/13 10:00:00 AM,4.727,409.0,,,
367,11/02/13 01:00:00 PM,2.837,2927.8,,,
368,11/02/13 04:00:00 PM,1.872,301.4,,,
369,11/02/13 07:00:00 PM,0.563,0.0,,,
370,11/02/13 10:00:00 PM,0.453,0.0,,,
371,11/03/13 01:00:00 AM,0.232,0.0,,,
372,11/03/13 04:00:00 AM,0.232,0.0,,,
373,11/03/13 07:00:00 AM,0.343,0.0,,,
374,11/03/13 10:00:00 AM,0.343,75.3,,,
375,11/03/13 01:00:00 PM,0.343,193.8,,,
376,11/03/13 04:00:00 PM,0.453,10.8,,,
377,11/03/13 07:00:00 PM,0.453,0.0,,,
378,11/03/13 10:00:00 PM,0.453,0.0,,,
379,11/04/13 01:00:00 AM,0.453,0.0,,,
380,11/04/13 04:00:00 AM,0.453,0.0,,,
381,11/04/13 07:00:00 AM,0.453,0.0,,,
382,11/04/13 10:00:00 AM,0.453,32.3,,,
383,11/04/13 01:00:00 PM,0.453,64.6,,,
384,11/04/13 04:00:00 PM,0.453,43.1,,,
385,11/04/13 07:00:00 PM,0.453,0.0,,,
386,11/04/13 10:00:00 PM,0.453,0.0,,,
387,11/05/13 01:00:00 AM,0.453,0.0,,,
388,11/05/13 04:00:00 AM,0.343,0.0,,,
389,11/05/13 07:00:00 AM,0.343,0.0,,,
390,11/05/13 10:00:00 AM,0.343,247.6,,,
391,11/05/13 01:00:00 PM,0.453,753.5,,,
392,11/05/13 04:00:00 PM,0.343,226.0,,,
393,11/05/13 07:00:00 PM,0.343,0.0,,,
394,11/05/13 10:00:00 PM,0.343,0.0,,,
395,11/06/13 01:00:00 AM,0.343,0.0,,,
396,11/06/13 04:00:00 AM,0.453,0.0,,,
397,11/06/13 07:00:00 AM,0.453,0.0,,,
398,11/06/13 10:00:00 AM,0.674,602.8,,,
399,11/06/13 01:00:00 PM,2.410,2669.5,,,
400,11/06/13 04:00:00 PM,3.049,376.7,,,
401,11/06/13 07:00:00 PM,3.155,0.0,,,
402,11/06/13 10:00:00 PM,4.727,0.0,,,
403,11/07/13 01:00:00 AM,5.757,0.0,,,
404,11/07/13 04:00:00 AM,5.962,0.0,,,
405,11/07/13 07:00:00 AM,6.166,0.0,,,
406,11/07/13 10:00:00 AM,5.962,64.6,,,
407,11/07/13 01:00:00 PM,3.472,1216.3,,,
408,11/07/13 04:00:00 PM,1.980,107.6,,,
409,11/07/13 07:00:00 PM,1.980,0.0,,,
410,11/07/13 10:00:00 PM,2.624,0.0,,,
411,11/08/13 01:00:00 AM,2.624,0.0,,,
412,11/08/13 04:00:00 AM,1.872,0.0,,,
413,11/08/13 07:00:00 AM,1.764,0.0,,,
414,11/08/13 10:00:00 AM,2.088,882.6,,,
415,11/08/13 01:00:00 PM,2.730,1033.3,,,
416,11/08/13 04:00:00 PM,3.049,645.8,,,
417,11/08/13 07:00:00 PM,2.088,0.0,,,
418,11/08/13 10:00:00 PM,1.439,0.0,,,
419,11/09/13 01:00:00 AM,1.112,0.0,,,
420,11/09/13 04:00:00 AM,0.893,0.0,,,
421,11/09/13 07:00:00 AM,1.439,0.0,,,
422,11/09/13 10:00:00 AM,2.410,968.8,,,
423,11/09/13 01:00:00 PM,3.683,947.2,,,
424,11/09/13 04:00:00 PM,3.367,279.9,,,
425,11/09/13 07:00:00 PM,2.517,0.0,,,
426,11/09/13 10:00:00 PM,2.837,0.0,,,
427,11/10/13 01:00:00 AM,3.788,0.0,,,
428,11/10/13 04:00:00 AM,4.519,0.0,Logged,,
429,11/10/13 07:00:00 AM,6.268,0.0,,,
430,11/10/13 10:00:00 AM,7.481,904.2,,,
431,11/10/13 01:00:00 PM,8.481,1722.2,,,
432,11/10/13 04:00:00 PM,8.879,753.5,,,
433,11/10/13 07:00:00 PM,8.182,0.0,,Logged,
