"Plot Title: TO11-S1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10574903, SEN S/N: 10574903)","Intensity, Lux (LGR S/N: 10574903, SEN S/N: 10574903)","Coupler Attached (LGR S/N: 10574903)","Coupler Detached (LGR S/N: 10574903)","Host Connected (LGR S/N: 10574903)","Stopped (LGR S/N: 10574903)","End Of File (LGR S/N: 10574903)"
213,10/11/15 01:00:00 AM,10.357,0.0,,,,,
214,10/11/15 04:00:00 AM,9.373,0.0,,,,,
215,10/11/15 07:00:00 AM,8.779,0.0,,,,,
216,10/11/15 10:00:00 AM,8.282,914.9,,,,,
217,10/11/15 01:00:00 PM,9.669,2411.1,,,,,
218,10/11/15 04:00:00 PM,10.553,1550.0,,,,,
219,10/11/15 07:00:00 PM,10.651,0.0,,,,,
220,10/11/15 10:00:00 PM,9.965,0.0,,,,,
221,10/12/15 01:00:00 AM,8.978,0.0,,,,,
222,10/12/15 04:00:00 AM,8.382,0.0,,,,,
223,10/12/15 07:00:00 AM,8.282,0.0,,,,,
224,10/12/15 10:00:00 AM,8.779,1044.1,,,,,
225,10/12/15 01:00:00 PM,12.594,3272.2,,,,,
226,10/12/15 04:00:00 PM,13.076,549.0,,,,,
227,10/12/15 07:00:00 PM,12.497,0.0,,,,,
228,10/12/15 10:00:00 PM,12.110,0.0,,,,,
229,10/13/15 01:00:00 AM,11.916,0.0,,,,,
230,10/13/15 04:00:00 AM,11.722,0.0,,,,,
231,10/13/15 07:00:00 AM,11.819,0.0,,,,,
232,10/13/15 10:00:00 AM,11.916,452.1,,,,,
233,10/13/15 01:00:00 PM,11.722,753.5,,,,,
234,10/13/15 04:00:00 PM,11.819,538.2,,,,,
235,10/13/15 07:00:00 PM,11.431,0.0,,,,,
236,10/13/15 10:00:00 PM,9.176,0.0,,,,,
237,10/14/15 01:00:00 AM,7.381,0.0,,,,,
238,10/14/15 04:00:00 AM,6.471,0.0,,,,,
239,10/14/15 07:00:00 AM,5.655,0.0,,,,,
240,10/14/15 10:00:00 AM,6.370,1054.9,,,,,
241,10/14/15 01:00:00 PM,8.680,990.3,,,,,
242,10/14/15 04:00:00 PM,9.866,818.1,,,,,
243,10/14/15 07:00:00 PM,9.373,0.0,,,,,
244,10/14/15 10:00:00 PM,8.282,0.0,,,,,
245,10/15/15 01:00:00 AM,7.682,0.0,,,,,
246,10/15/15 04:00:00 AM,7.782,0.0,,,,,
247,10/15/15 07:00:00 AM,7.983,0.0,,,,,
248,10/15/15 10:00:00 AM,9.176,1076.4,,,,,
249,10/15/15 01:00:00 PM,12.013,893.4,,,,,
250,10/15/15 04:00:00 PM,12.883,312.2,,,,,
251,10/15/15 07:00:00 PM,12.497,0.0,,,,,
252,10/15/15 10:00:00 PM,11.722,0.0,,,,,
253,10/16/15 01:00:00 AM,10.846,0.0,,,,,
254,10/16/15 04:00:00 AM,10.455,0.0,,,,,
255,10/16/15 07:00:00 AM,10.553,0.0,,,,,
256,10/16/15 10:00:00 AM,11.431,312.2,,,,,
257,10/16/15 01:00:00 PM,13.269,602.8,,,,,
258,10/16/15 04:00:00 PM,14.613,376.7,,,,,
259,10/16/15 07:00:00 PM,14.134,0.0,,,,,
260,10/16/15 10:00:00 PM,13.365,0.0,,,,,
261,10/17/15 01:00:00 AM,12.787,0.0,,,,,
262,10/17/15 04:00:00 AM,12.304,0.0,,,,,
263,10/17/15 07:00:00 AM,12.207,0.0,,,,,
264,10/17/15 10:00:00 AM,12.594,990.3,,,,,
265,10/17/15 01:00:00 PM,14.613,1216.3,,,,,
266,10/17/15 04:00:00 PM,14.230,882.6,,,,,
267,10/17/15 07:00:00 PM,12.883,0.0,,,,,
268,10/17/15 10:00:00 PM,12.594,0.0,,,,,
269,10/18/15 01:00:00 AM,12.207,0.0,,,,,
270,10/18/15 04:00:00 AM,11.819,0.0,,,,,
271,10/18/15 07:00:00 AM,11.625,0.0,,,,,
272,10/18/15 10:00:00 AM,11.722,409.0,,,,,
273,10/18/15 01:00:00 PM,12.110,753.5,,,,,
274,10/18/15 04:00:00 PM,12.690,538.2,,,,,
275,10/18/15 07:00:00 PM,12.207,0.0,,,,,
276,10/18/15 10:00:00 PM,12.013,0.0,,,,,
277,10/19/15 01:00:00 AM,11.916,0.0,,,,,
278,10/19/15 04:00:00 AM,11.819,0.0,,,,,
279,10/19/15 07:00:00 AM,11.819,0.0,,,,,
280,10/19/15 10:00:00 AM,12.110,968.8,,,,,
281,10/19/15 01:00:00 PM,12.594,1894.5,,,,,
282,10/19/15 04:00:00 PM,12.690,731.9,,,,,
283,10/19/15 07:00:00 PM,12.110,0.0,,,,,
284,10/19/15 10:00:00 PM,11.916,0.0,,,,,
285,10/20/15 01:00:00 AM,11.625,0.0,,,,,
286,10/20/15 04:00:00 AM,11.528,0.0,,,,,
287,10/20/15 07:00:00 AM,10.651,0.0,,,,,
288,10/20/15 10:00:00 AM,9.669,871.9,,,,,
289,10/20/15 01:00:00 PM,10.846,871.9,,,,,
290,10/20/15 04:00:00 PM,11.139,118.4,,,,,
291,10/20/15 07:00:00 PM,11.041,0.0,,,,,
292,10/20/15 10:00:00 PM,9.571,0.0,,,,,
293,10/21/15 01:00:00 AM,8.581,0.0,,,,,
294,10/21/15 04:00:00 AM,8.481,0.0,,,,,
295,10/21/15 07:00:00 AM,8.182,0.0,,,,,
296,10/21/15 10:00:00 AM,9.176,1377.8,,,,,
297,10/21/15 01:00:00 PM,11.528,2066.7,,,,,
298,10/21/15 04:00:00 PM,11.625,581.3,,,,,
299,10/21/15 07:00:00 PM,11.041,0.0,,,,,
300,10/21/15 10:00:00 PM,10.357,0.0,,,,,
301,10/22/15 01:00:00 AM,10.259,0.0,,,,,
302,10/22/15 04:00:00 AM,8.978,0.0,,,,,
303,10/22/15 07:00:00 AM,8.182,0.0,,,,,
304,10/22/15 10:00:00 AM,7.381,667.4,,,,,
305,10/22/15 01:00:00 PM,8.182,236.8,,,,,
306,10/22/15 04:00:00 PM,8.879,419.8,,,,,
307,10/22/15 07:00:00 PM,8.182,0.0,,,,,
308,10/22/15 10:00:00 PM,6.775,0.0,,,,,
309,10/23/15 01:00:00 AM,5.655,0.0,,,,,
310,10/23/15 04:00:00 AM,5.141,0.0,,,,,
311,10/23/15 07:00:00 AM,4.831,0.0,,,,,
312,10/23/15 10:00:00 AM,5.757,1087.2,,,,,
313,10/23/15 01:00:00 PM,8.779,2669.5,,,,,
314,10/23/15 04:00:00 PM,9.472,1054.9,,,,,
315,10/23/15 07:00:00 PM,8.382,0.0,,,,,
316,10/23/15 10:00:00 PM,7.682,0.0,,,,,
317,10/24/15 01:00:00 AM,7.481,0.0,,,,,
318,10/24/15 04:00:00 AM,7.381,0.0,,,,,
319,10/24/15 07:00:00 AM,7.381,0.0,,,,,
320,10/24/15 10:00:00 AM,7.983,344.4,,,,,
321,10/24/15 01:00:00 PM,9.472,1205.6,,,,,
322,10/24/15 04:00:00 PM,10.357,344.4,,,,,
323,10/24/15 07:00:00 PM,9.669,0.0,,,,,
324,10/24/15 10:00:00 PM,9.176,0.0,,,,,
325,10/25/15 01:00:00 AM,8.978,0.0,,,,,
326,10/25/15 04:00:00 AM,8.481,0.0,,,,,
327,10/25/15 07:00:00 AM,8.481,0.0,,,,,
