"Plot Title: TB13-S2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 2401762, SEN S/N: 2401762, LBL: TEMPERATURE)","Intensity, Lux (LGR S/N: 2401762, SEN S/N: 2401762, LBL: LIGHT INTENSITY)","End Of File (LGR S/N: 2401762)"
192,10/16/15 10:00:00 AM,15.282,161.5,
193,10/16/15 01:00:00 PM,19.662,473.6,
194,10/16/15 04:00:00 PM,19.948,301.4,
195,10/16/15 07:00:00 PM,17.760,0.0,
196,10/16/15 10:00:00 PM,17.189,0.0,
197,10/17/15 01:00:00 AM,15.378,0.0,
198,10/17/15 04:00:00 AM,14.996,0.0,
199,10/17/15 07:00:00 AM,14.613,0.0,
200,10/17/15 10:00:00 AM,15.282,344.4,
201,10/17/15 01:00:00 PM,17.189,376.7,
202,10/17/15 04:00:00 PM,15.855,10.8,
203,10/17/15 07:00:00 PM,14.517,0.0,
204,10/17/15 10:00:00 PM,13.750,0.0,
205,10/18/15 01:00:00 AM,13.076,0.0,
206,10/18/15 04:00:00 AM,12.690,0.0,
207,10/18/15 07:00:00 AM,12.401,0.0,
208,10/18/15 10:00:00 AM,12.690,64.6,
209,10/18/15 01:00:00 PM,13.076,139.9,
210,10/18/15 04:00:00 PM,12.980,96.9,
211,10/18/15 07:00:00 PM,12.787,0.0,
212,10/18/15 10:00:00 PM,12.594,0.0,
213,10/19/15 01:00:00 AM,12.401,0.0,
214,10/19/15 04:00:00 AM,12.304,0.0,
215,10/19/15 07:00:00 AM,12.110,0.0,
216,10/19/15 10:00:00 AM,12.207,96.9,
217,10/19/15 01:00:00 PM,14.613,688.9,
218,10/19/15 04:00:00 PM,13.365,107.6,
219,10/19/15 07:00:00 PM,12.497,0.0,
220,10/19/15 10:00:00 PM,12.207,0.0,
221,10/20/15 01:00:00 AM,11.819,0.0,
222,10/20/15 04:00:00 AM,11.625,0.0,
223,10/20/15 07:00:00 AM,11.236,0.0,
224,10/20/15 10:00:00 AM,11.431,107.6,
225,10/20/15 01:00:00 PM,13.750,635.1,
226,10/20/15 04:00:00 PM,13.461,172.2,
227,10/20/15 07:00:00 PM,12.013,0.0,
228,10/20/15 10:00:00 PM,10.748,0.0,
229,10/21/15 01:00:00 AM,10.259,0.0,
230,10/21/15 04:00:00 AM,9.768,0.0,
