"Plot Title: MW-9"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995238, SEN S/N: 9995238)","Bad Battery (LGR S/N: 9995238)","End Of File (LGR S/N: 9995238)"
214,10/13/13 07:00:00 AM,1.112,,
215,10/13/13 09:00:00 AM,1.112,,
216,10/13/13 11:00:00 AM,1.112,,
217,10/13/13 01:00:00 PM,1.112,,
218,10/13/13 03:00:00 PM,1.112,,
219,10/13/13 05:00:00 PM,1.112,,
220,10/13/13 07:00:00 PM,1.112,,
221,10/13/13 09:00:00 PM,1.112,,
222,10/13/13 11:00:00 PM,1.112,,
223,10/14/13 01:00:00 AM,1.112,,
224,10/14/13 03:00:00 AM,1.112,,
225,10/14/13 05:00:00 AM,1.112,,
226,10/14/13 07:00:00 AM,1.112,,
227,10/14/13 09:00:00 AM,1.112,,
228,10/14/13 11:00:00 AM,1.112,,
229,10/14/13 01:00:00 PM,1.112,,
230,10/14/13 03:00:00 PM,1.112,,
231,10/14/13 05:00:00 PM,1.112,,
232,10/14/13 07:00:00 PM,1.003,,
233,10/14/13 09:00:00 PM,1.003,,
234,10/14/13 11:00:00 PM,1.003,,
235,10/15/13 01:00:00 AM,1.003,,
236,10/15/13 03:00:00 AM,1.003,,
237,10/15/13 05:00:00 AM,1.003,,
238,10/15/13 07:00:00 AM,1.003,,
239,10/15/13 09:00:00 AM,1.003,,
240,10/15/13 11:00:00 AM,1.003,,
241,10/15/13 01:00:00 PM,1.112,,
242,10/15/13 03:00:00 PM,1.003,,
243,10/15/13 05:00:00 PM,1.003,,
244,10/15/13 07:00:00 PM,1.003,,
245,10/15/13 09:00:00 PM,1.003,,
246,10/15/13 11:00:00 PM,1.003,,
247,10/16/13 01:00:00 AM,1.003,,
248,10/16/13 03:00:00 AM,1.003,,
249,10/16/13 05:00:00 AM,1.003,,
250,10/16/13 07:00:00 AM,1.003,,
251,10/16/13 09:00:00 AM,1.003,,
252,10/16/13 11:00:00 AM,1.003,,
253,10/16/13 01:00:00 PM,1.003,,
254,10/16/13 03:00:00 PM,1.003,,
255,10/16/13 05:00:00 PM,1.003,,
256,10/16/13 07:00:00 PM,1.003,,
257,10/16/13 09:00:00 PM,1.003,,
258,10/16/13 11:00:00 PM,1.003,,
259,10/17/13 01:00:00 AM,1.003,,
260,10/17/13 03:00:00 AM,1.003,,
261,10/17/13 05:00:00 AM,1.003,,
262,10/17/13 07:00:00 AM,1.003,,
263,10/17/13 09:00:00 AM,1.003,,
264,10/17/13 11:00:00 AM,1.003,,
265,10/17/13 01:00:00 PM,1.003,,
266,10/17/13 03:00:00 PM,1.003,,
267,10/17/13 05:00:00 PM,1.003,,
268,10/17/13 07:00:00 PM,1.003,,
269,10/17/13 09:00:00 PM,1.003,,
270,10/17/13 11:00:00 PM,1.003,,
271,10/18/13 01:00:00 AM,1.003,,
272,10/18/13 03:00:00 AM,1.003,,
273,10/18/13 05:00:00 AM,1.003,,
274,10/18/13 07:00:00 AM,1.003,,
275,10/18/13 09:00:00 AM,1.003,,
276,10/18/13 11:00:00 AM,1.003,,
277,10/18/13 01:00:00 PM,1.003,,
278,10/18/13 03:00:00 PM,1.003,,
279,10/18/13 05:00:00 PM,1.003,,
280,10/18/13 07:00:00 PM,1.003,,
281,10/18/13 09:00:00 PM,1.003,,
282,10/18/13 11:00:00 PM,1.003,,
283,10/19/13 01:00:00 AM,1.003,,
284,10/19/13 03:00:00 AM,1.003,,
285,10/19/13 05:00:00 AM,1.003,,
286,10/19/13 07:00:00 AM,1.003,,
287,10/19/13 09:00:00 AM,1.003,,
288,10/19/13 11:00:00 AM,1.003,,
289,10/19/13 01:00:00 PM,1.003,,
290,10/19/13 03:00:00 PM,1.003,,
291,10/19/13 05:00:00 PM,1.003,,
292,10/19/13 07:00:00 PM,1.003,,
293,10/19/13 09:00:00 PM,1.003,,
294,10/19/13 11:00:00 PM,1.003,,
295,10/20/13 01:00:00 AM,1.003,,
296,10/20/13 03:00:00 AM,1.003,,
297,10/20/13 05:00:00 AM,1.003,,
298,10/20/13 07:00:00 AM,1.003,,
299,10/20/13 09:00:00 AM,1.003,,
300,10/20/13 11:00:00 AM,1.003,,
301,10/20/13 01:00:00 PM,1.003,,
302,10/20/13 03:00:00 PM,1.003,,
303,10/20/13 05:00:00 PM,1.003,,
