Species,Year,Site,Phenophase,SDD,Opt,Duration,Height
CAPA,2015,RL2,flwr,140,179.1243,7.2242,18.1111
CAPA,2015,RL5,flwr,140,194.9017,9.5499,4.3557
CAPA,2015,RL6,flwr,151,174.5062,7.2312,7.1679
CAPA,2015,RL7,flwr,149,176.4662,7.8571,15.4848
CAPA,2015,RL8,flwr,149,178.0914,10.3023,25.9246
CAPA,2015,RL9,flwr,159,187.5,14.2756,35.8055
CAPA,2015,RL2,fruit,140,188.8462,7.3127,16.0237
CAPA,2015,RL6,fruit,151,201.7719,10.2324,5.4064
CAPA,2015,RL7,fruit,149,194.7624,9.6076,12.21
CAPA,2015,RL8,fruit,149,197.9202,12.9035,28.8146
CAPA,2015,RL9,fruit,159,203.5541,13.5532,30.88
CAPA,2015,RL2,seed,140,211.3197,17.1423,16.1677
