"YEAR","MONTH","DAY","HOUR","MIN","TEMP"
2013,11,1,5,0,1.656
2013,11,1,7,0,1.003
2013,11,1,9,0,0.893
2013,11,1,11,0,4.727
2013,11,1,13,0,11.334
2013,11,1,15,0,10.455
2013,11,1,17,0,6.064
2013,11,1,19,0,3.683
2013,11,1,21,0,3.261
2013,11,1,23,0,2.73
2013,11,2,1,0,2.943
2013,11,2,3,0,1.439
2013,11,2,5,0,1.764
2013,11,2,7,0,1.112
2013,11,2,9,0,0.893
2013,11,2,11,0,0.893
2013,11,2,13,0,0.784
2013,11,2,15,0,0.784
2013,11,2,17,0,0.784
2013,11,2,19,0,0.784
2013,11,2,21,0,0.674
2013,11,2,23,0,0.674
2013,11,3,1,0,0.563
2013,11,3,3,0,0.563
2013,11,3,5,0,0.563
2013,11,3,7,0,0.563
2013,11,3,9,0,0.453
2013,11,3,11,0,0.453
2013,11,3,13,0,0.453
2013,11,3,15,0,0.453
2013,11,3,17,0,0.453
2013,11,3,19,0,0.453
2013,11,3,21,0,0.343
2013,11,3,23,0,0.343
2013,11,4,1,0,0.343
2013,11,4,3,0,0.343
2013,11,4,5,0,0.343
2013,11,4,7,0,0.343
2013,11,4,9,0,0.343
2013,11,4,11,0,0.343
2013,11,4,13,0,0.343
2013,11,4,15,0,0.343
2013,11,4,17,0,0.343
2013,11,4,19,0,0.343
2013,11,4,21,0,0.343
2013,11,4,23,0,0.343
2013,11,5,1,0,0.343
2013,11,5,3,0,0.343
2013,11,5,5,0,0.343
2013,11,5,7,0,0.343
2013,11,5,9,0,0.343
2013,11,5,11,0,0.343
2013,11,5,13,0,0.343
2013,11,5,15,0,0.343
2013,11,5,17,0,0.343
2013,11,5,19,0,0.343
2013,11,5,21,0,0.343
2013,11,5,23,0,0.343
2013,11,6,1,0,0.343
2013,11,6,3,0,0.343
2013,11,6,5,0,0.343
2013,11,6,7,0,0.343
2013,11,6,9,0,0.343
2013,11,6,11,0,0.343
2013,11,6,13,0,0.343
2013,11,6,15,0,0.343
2013,11,6,17,0,0.343
2013,11,6,19,0,0.343
2013,11,6,21,0,0.343
2013,11,6,23,0,0.343
2013,11,7,1,0,0.343
2013,11,7,3,0,0.232
2013,11,7,5,0,0.232
2013,11,7,7,0,0.232
2013,11,7,9,0,0.232
2013,11,7,11,0,0.232
2013,11,7,13,0,0.232
2013,11,7,15,0,0.232
2013,11,7,17,0,0.232
2013,11,7,19,0,0.232
2013,11,7,21,0,0.232
2013,11,7,23,0,0.232
2013,11,8,1,0,0.232
2013,11,8,3,0,0.232
2013,11,8,5,0,0.232
2013,11,8,7,0,0.232
2013,11,8,9,0,0.232
2013,11,8,11,0,0.232
2013,11,8,13,0,0.232
2013,11,8,15,0,0.232
2013,11,8,17,0,0.232
2013,11,8,19,0,0.232
2013,11,8,21,0,0.232
2013,11,8,23,0,0.232
2013,11,9,1,0,0.232
2013,11,9,3,0,0.232
2013,11,9,5,0,0.232
2013,11,9,7,0,0.232
2013,11,9,9,0,0.232
2013,11,9,11,0,0.232
2013,11,9,13,0,0.232
2013,11,9,15,0,0.232
2013,11,9,17,0,0.232
2013,11,9,19,0,0.232
2013,11,9,21,0,0.232
2013,11,9,23,0,0.232
2013,11,10,1,0,0.232
2013,11,10,3,0,0.232
2013,11,10,5,0,0.232
2013,11,10,7,0,0.232
2013,11,10,9,0,0.232
2013,11,10,11,0,0.232
2013,11,10,13,0,0.232
2013,11,10,15,0,0.232
2013,11,10,17,0,0.232
2013,11,10,19,0,0.232
2013,11,10,21,0,0.232
2013,11,10,23,0,0.232
2013,11,11,1,0,0.232
2013,11,11,3,0,0.232
